emotion,sentence
Contempt,I groan inwardly at the prospect of a night playing Happy Families with a bunch of desk-jockeys and number-crunchers.
Anticipation,"Both of them were breathing hard, such a hurry and scramble of lips, hands, such a heat inside and between them, he stuffed one small breast into his mouth and then the other, giving her the same churn of astonished guilty pleasure as when she lay on her bed in the afternoons and read the forbidden books she smuggled home from the library."
Anger,"So I go, have a job to find it he just looks at me hard as nails."
Love,"Two weeks on perfect sand in sunshine nine to five; she'd returned with an all-over tan feeling wonderful and hey presto, head over heels in love with Astrid."
Optimism,I wonder what's brought this change of heart?
Joy,"To fight for King and Country; to keep a stiff upper lip and a devil-may-care sangfroid, no matter if he were scared shitless."
Surprise,"I was, as a newly arrived curate, somewhat taken aback and went home to lick my wounds."
Optimism,"Look on the bright side, you managed two more than I did."
Fear,Did you have a lump in your throat?
Ambiguous,I have very mixed feelings about it.
Optimism,"No hard feelings, darling, so nice you're getting married?"
Neutral,"Since immigrants from hot countries have settled here for generations, surviving the cold, icy blast, the hybrid English, with the blood of many nations in their veins will not turn a hair at the cooler climate or the cooler neighbours."
Love,"Now that's a quick fix and hasn't cost anything, hasn't put anybody's nose out of joint."
Disapproval,Why open old wounds?
Neutral,"Not only are characters within the tale likened to animals for instance the miller, proud as a peacock, with his skull."
Joy,"Yeah, pleased as punch."
Ambiguous,Time to plan a dumpbin and regain my composure.
Disapproval,"But really, what, all they wanted to do was save face from the hospital because it wasn't our fault."
Love,"The reason why I have a soft spot for this notebook, he wrote."
Neutral,"But her silence, and her eyebrows, speak volumes."
Disapproval,"We let off steam in graffiti, vandalism and football hooliganism."
Neutral,The windows upstairs are all steamed up.
Disgust,"He won't eat dumplings, if he sees dumplings in a stew he'll puke."
Neutral,Come clean Steve. Swallow your pride.
Sadness,He doesn't come and whisper sweet nothings in our ears.
Surprise,"Mind you, when I was skivvying for that Brixton fam'ly, the head of the fam'ly didn't' alf take a fancy to me."
Neutral,Providing the income you will need after you stop work can take a load off your mind.
Anger,Don't tear your hair out.
Ambiguous,"Rather than wear your heart on your sleeve, you keep it under your hat."
Neutral,So these are hangings erm hung on tenterhooks directly hammered straight into the wall.
Disapproval,"Miss H. is no more a lesbian than you are, so stop being silly and just thank your lucky stars that she's teaching Constance so much."
Love,"Those two lassies, they think the world of you."
Contempt,"You're unusually well informed,' Bailey said with thinly veiled sarcasm."
Submission,Pain and nausea swept over him in waves that left him hot and sticky and weak at the knees.
Contempt,As long as you don't die with bells on your ankles.
Optimism,"Suddenly Water Gypsy' s hitherto charming interior seemed claustrophobic, and she decided a brisk walk along the towpath might blow away the cobwebs and the fit of blues that bedevilled her"
Neutral,"Chill out, Tal."
Optimism,But I'm in my element then aren't I?
Joy,Feast your eyes on this little dazzler a gem in a million.
Neutral,"Listen to the way he sings the phase ' Footloose And Fancy Free',"
Neutral,The Jamboree was in full swing.
Joy,"Because you know they came up, they were full of the joys of spring, looking around, chatting to their friends."
Joy,"Both of them were breathing hard, such a hurry and scramble of lips, hands, such a heat inside and between them, he stuffed one small breast into his mouth and then the other, giving her the same churn of astonished guilty pleasure as when she lay on her bed in the afternoons and read the forbidden books she smuggled home from the library."
Joy,Ooh well they used to well they didn't used to sing a lot of songs but er they used to do a lot of you know playing about and perhaps and then they'd perhaps have a ball.
Anticipation,But you can be sure that you'll have the time of your life.
Joy,And mummy will have a whale of a time.
Neutral,It's only when you let your hair down that others can see the real person hiding under the hat.
Awe,Are you always the life and soul of the party?
Neutral,"By the time they were ready to leave she was having to use every ounce of effort to convince Andr that no, she didn't want to paint the town red, or any other colour, for that matter, and no, she didn't want to have any candlelit dinners with him."
Disapproval,"So you told her you were sick and now you're going to sneak out, hoping that you'll be back before the party is over."
Surprise,No. He was only pulling your leg.
Aggression,"Come off it, pull the other one."
Neutral,No punch line.
Neutral,"He is not a flamboyant man, nor is he much of a social butterfly except by comparison with the rest of his senior colleagues who tend to keep to their own counsel and lives in Barnes."
Fear,"Now take it easy, don't get panicky."
Ambiguous,It is not clear where Sir Trevor learned to tickle the ivories.
Joy,"After that, the world is your oyster, as they say."
Joy,"For the past five days now she had been living somewhere on cloud nine, and had decided that she might just as well set up home there, as it was such a wonderful place to be."
Sadness,"Cry my eyes out, make an absolute wally of myself and now you tell me he was a Repo Man."
Sadness,"so, he said that she's feeling a bit down in the dumps and quite moody."
Joy,"That erm, made me laugh because he said to his secretary, erm, you know, I I honestly don't think your time is she is so down in the mouth."
Joy,"To pretend as the sister said, that because she and another sister share lesbian sexuality, that that is the only thing, I think is living in a fools paradise."
Joy,Mr Crangle was grinning from ear to ear.
Joy,"They're going to have to come out of the forests,' he replied, with a grin like a Cheshire cat."
Ambiguous,He seemed as happy as Larry trailing round the greasy dustbins of Bristol till nuclear war broke out or the police nabbed him for pilfering a used Tesco bag.
Neutral,I wish I could happy go lucky like that.
Sadness,"The voice sings along with the song, then turns into a hum. Your heart sinks. You were hoping he was alone in the house."
Joy,"Female speaker I jump for joy... but until I hear from the Foreign Office or from Martin, I won't believe it."
Joy,I suppose that comments like that are music to your ears?
Optimism,"Never look back, Gerry always said."
Neutral,"It's a little lad and I looked through a window, I could see Judith holding this baby but you had to walk round to get to her and I knew before you'd got there and you were all over the moon about this little baby and everything."
Joy,"She was not quite sure what all of them were laughing about but there they were, rolling about with mirth, and Herbert Fraser looking as pleased as Punch."
Disapproval,"Everybody else was in raptures. And I thought, oh not Norma."
Disapproval,"So, though there are no stars in your eyes, you consider yourself beyond temptation?'"
Joy,"Constance was in seventh heaven, the dresses, the hats, the model girls, everything appeared perfect to her."
Joy,Oh Tilly was thrilled to bits with that little that little plastic thing.
Joy,"I'm tickled pink. If I wasn't, I wouldn't have kept quiet about you and him, would I?"
Disapproval,"These are things you can't afford to lose, not at this time of your life."
Joy,"Erm since we've got together we, we are on top of the world."
Joy,"You feel, at the end of the treatment you feel as if you're walking on air."
Anger,I will go bananas.
Disapproval,We have gone from being the bread basket of Central America to being its basket case.
Contempt,Some philosophers know a lot about bells and think that everyone who hears ringing noises in their ears must have bats in the belfry.
Disapproval,It was your harebrained idea.
Ambiguous,"Oh, just thinking, I'm not all there."
Sadness,It may very well be that I'm not playing with a full deck.
Anticipation,If you think about it long enough you'll go nuts.
Disapproval,You're off your rocker.
Disgust,I swear you have a screw loose.
Remorse,I must have gone stark raving mad.
Sadness,"I'm gonna get stir crazy not being able to play badminton I know, and I score, it's gonna drive me crazy."
Neutral,"It may well be necessary to botch up repairs using hurdles, bedsteads, corrugated iron sheets, scraps of wire netting, and baler twine."
Remorse,"It is now time, however, that I eat my words."
Remorse,Freudian slip there.
Disapproval,"Come clean Steve, swallow your pride."
Neutral,"It was involved with your trial and error and practice, but it was certainly involved with Vicky and that is watching, or learning from okay."
Neutral,"This picture of Dreadnought was so wide of the mark that Willis found it better to say nothing, simply making a gesture which had something in common with a petty officer's salute."
Submission,Servants bow and scrape.
Neutral,"Yes, the done thing for driving horses to canter or gallop on the road, they never ever should."
Contempt,"They didn't switch off when he played bloody hell with' em, excuse my French er President, but this is how it went, he couldn't give a damn about you bloody lot, he kept the television on, it just showed his frustration."
Ambiguous,"Of course, en suite has long been de rigueur, if you'll pardon my French, in hotels nationwide."
Anger,Perhaps next time you'll inform me first before you gatecrash my party and throw yourself into the fountain.
Disapproval,So watch your language.
Contempt,"Don't overstep the mark too far, Mr Calder."
Neutral,Did I speak out of turn?
Anger,"Come on now, Malachi, don't stand on ceremony here at home."
Neutral,"So they find your particular weakness, your Achilles heel and they'd go for that."
Neutral,The government takes the view that President Clinton was simply addressing domestic critics of his foreign policy and that his complaints shouldn't set the alarm bells ringing.
Disapproval,Or an electric fire then you would be asking for trouble because you'd be trying to draw out.
Neutral,Someone came out of The Two Pheasants and latched the door back to the wall hospitably.
Submission,At which point she unlocked her ball and chain.
Disapproval,They are the bane of my life.
Sadness,The fuel gauge had gone on the blink shortly after the start.
Disapproval,"Anyway, it's a bit of a can of worms that to be quite honest"
Neutral,In the Army someone has to carry the can.
Neutral,They're in a Catch 22 situation.
Disapproval,There's always a chill wind blowing off that river.
Optimism,The only cloud on the horizon was a boy called Dennis Dawson.
Disapproval,That needn't of come to a head like that really.
Optimism,"Tomorrow, I promise, come hell or high water."
Optimism,It'll come out in the wash I guess.
Disapproval,"She was a kind of Stakhanovite worker in the field of female suffering, setting new targets for pain, finding each week some new emotional cross to bear."
Optimism,We'll cross that bridge when we come to it.
Neutral,"Ah, that is the crux of the matter, is it not?"
Trust,It's alright but you get to the bottom of those stairs and sometimes feel lost.
Sadness,"It's an embarrassing thing for a fault-tolerant vendor to have to say, but a bug in Guardian for the Tandem Computers Inc NonStop CLX machines caused them to reset their clocks to December 1,1983 on November 1, causing systems with time-dependent programs to go haywire."
Optimism,"When the going gets tough, it's these people who react best."
Disapproval,But sometimes you grasp at straws.
Disapproval,Cambridge were left high and dry for a time this afternoon as Oxford followed in the footsteps of many a champion.
Sadness,She was in dire straits.
Remorse,I don't want to leave him in the lurch
Neutral,"Yeah, very much a last resort and it's usually, erm as a result of ill treatment."
Optimism,"In fact, you're a girl who's going places -- once you've untied yourself from this man who's been like a millstone around your neck for the last four years."
Fear,"Get that tray along to the study, or there'll be murder to pay."
Neutral,"They viewed such methods as a necessary evil, unavoidable yet somehow beneath their dignity."
Optimism,"The Economist circulation is now five hundred and twenty five thousand each week, and although their er year is out of sync with ours, I expect the profits for the year to be at or near record levels once again."
Optimism,He did his best to paper over the cracks.
Disapproval,I think that everyone seems to pass the buck.
Optimism,"If you are in a pickle, don't worry about it, because you can always phone Di up."
Optimism,"Yeah, if at the end of the day it's a quick fix then."
Sadness,"The Bookman put on a brave face and smiled, but Endill knew there was nothing to smile about."
Joy,But we are saved by the bell.
Sadness,"Trained as they were, the psychiatrists on the screening tests had failed to scratch the surface of her most secret place."
Disapproval,I put a spanner in the works of one of the companies that later merged to form Spinward.
Anger,"You spell trouble, and I want you out of the way."
Surprise,"The cost of redeveloping a dilapidated shopping arcade into flats could spiral out of control, a councillor has warned."
Neutral,"If he wasn't there then I would say that you you'd be on a sticky wicket, because most terms of employment say that if you er have a driving licence and you lose it then your employment will automatically finish."
Optimism,But why stir up a hornet 's nest by accusing Erdle when murder hasn't been mentioned?
Disapproval,"The game desperately needs a strong Leeds but if they don't stop the rot soon they can say goodbye to a top eight place, let alone the top."
Anticipation,"And that we don't want to put up anything that'll be a stumbling block, to people coming."
Ambiguous,So you take the bull by the horns or you don't.
Anticipation,So we now take the easy way out by using gas which we carry with us.
Neutral,"She paused for a moment to watch Rose, who by now resembled a tar baby stuck all over with dirty wool."
Disapproval,The Governor admits there have been teething problems which need sorting out.
Neutral,Mr Ridley would not be drawn on the thorny issue of rail privatisation other then to say that investment was urgently needed in Britain.
Disapproval,Labour would throw money at industry.
Neutral,"The submersible rose higher in the dock, the overflowing sea rushing like a tide over their boots."
Fear,Eight extra bullets in a tight spot could mean the difference between life and death.
Anticipation,Presumably that's just the tip of the iceberg.
Optimism,She had to admit that he would almost certainly not see the situation as an unmitigated disaster.
Neutral,"But, somehow, he sensed that that would be an uphill battle."
Disapproval,"Well they can finally expel you but it's a vicious circle, I mean it goes on and on and on."
Neutral,"He got back here late this morning, saying the swap had gone without a hitch and clutching the photograph of Sam we'd been promised."
Ambiguous,"We do have to take a leaf, a little bit out of Kenzie's book from the n-- the late nineteen thirties and afterwards, that when things are receding, you don't batten down the hatches, you don't simply close things in."
Anticipation,He just took a calculated risk on the spur of the moment.
Optimism,He decided to throw caution to the wind before Selwyn came over for his tea.
Surprise,"Close shave, that one."
Neutral,"Yeah, Geoff. Tell him the coast is clear."
Optimism,"Treasurers suffer the erm, the occupational hazard that they always, to some extent, have to cry wolf."
Fear,Hoomey's teeth were chattering after his dice with death.
Fear,"There is a legal case pending, and it is a very, very dicey situation."
Neutral,"And with marks to prove it, that er just sort of one false move and my job with life was over."
Fear,The whole area seemed fraught with danger.
Anticipation,You escaped death by a hair 's breadth.
Fear,Obey them to the letter and you will be well rewarded -- any bungling or playing the fool and I doubt you'll live to tell the tale
Disapproval,Don't you never look before you leap?
Disapproval,It's a no go area.
Ambiguous,"To keep the rod upright, out of harm 's way when not in use."
Disapproval,"In a recent episode of a Music Television cartoon called Beavis and Butthead, the characters play with fire."
Contempt,It is not in your nature to put your head on the block; so much I do know.
Anticipation,"And would the swans find shelter from the storm, or ride it out like three-masted sailing ships?"
Neutral,Phil Angell asked him what does it take to risk life and limb.
Trust,Och he knows you're in safe hands like when you come round here.
Neutral,Just to be on the safe side.
Trust,Safety in numbers.
Sadness,"You really do like to sail close to the wind, don't you?"
Disapproval,Don't use your brother's name to save your neck.
Fear,A business worth three billion pounds a year is at stake.
Fear,"If the bombing starts, take cover in the basement."
Disapproval,Better watch your step next time you drink whisky.
Disapproval,I reckon the teacher fell asleep at the wheel.
Neutral,I could do with forty winks right now and Otley would never miss me.
Neutral,"Come on old girl, up the golden stairs, let's hit the hay."
Neutral,"I suppose it came into my room for a few minutes to see a book I'd been telling him about, then he left and I hit the sack."
Ambiguous,"If this were a simple and one-way movement, the answer would lie in ensuring that the record of achievement is up to date and intelligible."
Love,"Oh I was out like a light, but on the  I don't think you'd bloody wake me if I had one now."
Submission,By the time he arrived at Amanda's he was ready to drop.
Trust,"And the, the swaying of the ship and I used to sleep like a log."
Neutral,And then sleep on it.
Sadness,I can not sleep a wink now.
Neutral,"Like the Carters', the Parsons' marriage was in turn-around, only there it was Dennis who was the sleeping partner."
Disapproval,"Given that the main impetus behind EMU is the desire of the French to get a seat on the Bundesbank, and given the fact that the Germans hold all the aces, this is hardly surprising."
Neutral,"She ended a bedraggled also-ran, trailing in ninth."
Neutral,But if you blow the whole lot on celebrating you will be back to square one.
Disapproval,"No, I've looked in the bag."
Sadness,The tree was destroyed before it could bear fruit.
Disapproval,"If the police went charging up a blind alley as a result of her information, it wouldn't be her fault."
Optimism,Its reputation rests on classy programmes often made as international co-productions like David Attenborough's blockbuster natural history series.
Disapproval,"Then came the Gulf war and, as Harry Coe recalls, the bottom fell out of the market."
Anticipation,Can Desert Orchid the champion bring the house down and win.
Neutral,Never get anything done in this life if you don't chance your arm.
Surprise,"Anne Dawson, had your chips?"
Remorse,"If I come to grief, Hilary, then so will you."
Joy,Sure an' they must be pleased seein' the geddle come up in the world like she has.
Optimism,"This will include male 40, 45 and 50 plus events plus male and female categories, with the first three finishers to count. With 400 to the first man home and 300 to the first lady and considerable training grants throughout, Lisburn looks sure to turn up trumps once again."
Joy,Today's sticker is from the French Grand Prix he won to get back on course for the title with his sixth superb victory.
Neutral,He says that he managed to stay on the crest of the wave.
Optimism,The first principle of success in any walk of life is to know when to cut your losses.
Disapproval,You cut your own throat already when you wrote the script for Connie's disappearance.
Optimism,"He tell me that it is a dead cert, we can make an absolute killing by taking a percentage of the profits."
Aggression,They think I'm a dead duck but it's not been a time you could write off.
Neutral,"As far as I'm concerned, community care's dead in the water."
Submission,"When he stands alone in such a place confronted by several police officers, usually some of high rank, the dice are loaded against him, especially as he knows there is no one to corroborate him as to what exactly occurred during the interrogation, how it was conducted and how long it lasted"
Neutral,"It was all downhill to the causeway, and the turf was smooth."
Neutral,But I draw a blank with hazelnuts.
Fear,I'm gon na fall flat on my bum.
Joy,McLeish smiled to himself at the swift fall from grace in the postscript.
Optimism,It might be a good one and if you could get an appointment as their vet it would be another feather in your cap
Sadness,"While all her instincts balked against becoming too enmeshed with Vitor, she seemed destined to fight a losing battle."
Disapproval,Yeah but it's a flash in the pan.
Joy,It was a test that the Three-Ninetieth passed with flying colours destroying thirteen enemy aircraft and achieving excellent bombing results.
Optimism,Another local team off to a flying start are Gloucester Rugby club.
Disapproval,This is a fool 's errand.
Contempt,You know I don't like him having a foot in the door here.
Optimism,If they can get a foothold in Europe they will have the chance to be bigger and better.
Neutral,Aunt May is only the front runner.
Contempt,But you haven't to let either of them get the better of you.
Neutral,If the money was ploughed back into dog racing  tracks could improve amenities and strengthen security which would encourage more people to go to the dogs.
Neutral,"Erm, should the house go up in smoke, Theresa across the road run to her."
Awe,"Because your dad's a manager, he's got it made."
Neutral,The great creature fell on its knees in the snow.
Anticipation,For months the polls have been predicting an unprecedented landslide victory for the Right in next month's general election.
Disapproval,Halliwell said that these sexual experiments can only lead to a dead end.
Ambiguous,Whereas before we were going up in leaps and bounds.
Remorse,"I reluctantly withdraw this motion, but I will say this, we live to fight another day."
Love,Joe and I mean I come a long way
Awe,If you find yourself at a low ebb this weekend don't worry.
Joy,The station which persuaded him to make a comeback says it can't believe its luck.
Disapproval,Why did you make the cut worse?
Neutral,They therefore faced no option other than to make a go of the business.
Submission,It was a bit like the rowing boat trying to make headway against the flow of the river near the weir.
Anticipation,"We know that as soon as we try and make inroads into that it, it would absolutely mushroom."
Optimism,He says he's really going to make a killing.
Neutral,"Right, they're the make or break areas which comprise your job."
Disapproval,Only adults make a pig 's ear of it when they first start fishing as adults.
Contempt,"Multiples such as W.H. Smith will certainly not miss the boat but the more traditional, book-focused groups may not even know there is a boat."
Ambiguous,"Is this the moment of truth, he wrote, or the greatest temptation?"
Fear,Erm you probably all know Murphy 's law that what can go wrong will go wrong.
Sadness,I'm not getting anywhere my legs aren't long enough
Ambiguous,You say nothing succeeds like success and number seventeen is success and how do you spell success.
Sadness,He married someone else in 1860 and drops out of the picture.
Disapproval,"Most athletes win honestly, but some will do anything to finish ahead of the pack, even using illegal drugs."
Joy,He says well if you want to pack it in love.
Optimism,"Critically surveying her reflection, she told herself she would pass muster."
Optimism,Britain's solar powered car takes its place in the sun.
Disapproval,"She was under the impression that Charles had put the kibosh on any exclusive agreement with Barton, and most certainly nothing had been said about it."
Anticipation,I hope with all my heart that you find it a pyrrhic victory.
Optimism,Anything to do with rags to riches is sure of a welcome if brightly done.
Optimism,"You see, as long as things were happening their faith was riding high."
Optimism,I said yes I can rise to the occasion as well.
Awe,For sheer cleverness she could run rings around them all.
Awe,Some women certainly will sail through menopause with never a hot flush and no problems at all.
Sadness,"And if Emily had expected Craig to ride in on a white charger and save the day, she had been doomed to disappointment."
Optimism,"Here you are, sink or swim in you'd go into the water."
Optimism,The sky 's the limit.
Neutral,"Skinflint Ebeneza is played by showbiz legened Anthony Newely, who starred in several smash hit musicals including Stop the World I Want to Get Off."
Optimism,"Maybe she is alive, said Wexford, more from a mischievous desire to throw a spanner in the works than from conviction."
Optimism,Tommy Boyle told me not to throw in the towel
Disapproval,"Well I know, but he didn't have top dog meat since he's been here."
Neutral,"And anything that's not on the up and up is, well I think it's detrimental to a mans life."
Optimism,"James after the home leg, said we will have to weather the storm."
Optimism,Yet work organizations depend on shared power in win-win cooperative effort.
Contempt,Eventually the Committee was to wither on the vine.
Neutral,Have you got a wooden spoon there?
Neutral,"Now, was this forty thousand pounds a bolt from the blue or did you know it was coming to you?"
Surprise,"It was my 85th birthday recently and out of the blue, a letter arrived from my daughter containing tickets for a four-day trip to Paris."
Surprise,"He had to do a double take, bumping into a filing cabinet."
Surprise,Everyone looked round and Biff's jaw dropped.
Surprise,She almost jumped out of her skin when she saw it.
Optimism,"It's Lil, power-dressed to knock your socks off, with all eyes blazing."
Ambiguous,And lo and behold there isn't.
Neutral,"The North Tees hospital trust will be a nine-day wonder, Labour's health spokesman Robin Cook said yesterday."
Disapproval,"But for many, stories about one night-stands are more inclined to raise eyebrows than get them giggling."
Optimism,We all tend to put our hands in our pockets and stand rooted to the spot and all the rest of it but there are ways of overcoming it.
Neutral,Wesley Smith Seeing is believing the videophone which takes the blind out of date.
Fear,Alyssia stopped dead in her tracks.
Ambiguous,Charles was struck dumb trying to fathom what the man might possibly mean.
Ambiguous,"While it has been suggested that the IDA was taken unaware by the problems Raybestos encountered, its handling of the company was discreet in the extreme."
Surprise,I say wonders will never cease I have just written a receipt  and I have put it in her envelope.
Disapproval,"To get off a train with a total stranger, I really can not, well, words fail me."
Fear,"Plod could herd them all together into a group, march them to and from their destinations, depriving them along the way of all alcohol  and beat the living daylights out of any who still insisted on stepping out of line."
Aggression,"Lapointe and the other Frenchman come to blows after the accident, or what?"
Anticipation,"Well you can guarantee they're gon na fight tooth and nail over this job creation scheme, to stop it."
